Description,NES,p.adjust,cell_type,negLog_padjust
B CELL MEDIATED IMMUNITY,2.8397994337049823,4.2575e-9,allECs,8.370845343365362
IMMUNE RESPONSE,2.8332675489987422,4.2575e-9,allECs,8.370845343365362
ADAPTIVE IMMUNE RESPONSE,2.8214679521932484,4.2575e-9,allECs,8.370845343365362
INNATE IMMUNE RESPONSE,2.774051744745709,4.2575e-9,allECs,8.370845343365362
IMMUNE RESPONSE REGULATING SIGNALING PATHWAY,2.770218304732891,4.2575e-9,allECs,8.370845343365362
PHAGOCYTOSIS,2.764160042813926,4.2575e-9,allECs,8.370845343365362
LEUKOCYTE MEDIATED IMMUNITY,2.7641569600711233,4.2575e-9,allECs,8.370845343365362
REGULATION OF IMMUNE RESPONSE,2.7532181411601737,4.2575e-9,allECs,8.370845343365362
POSITIVE REGULATION OF IMMUNE RESPONSE,2.7502197447940815,4.2575e-9,allECs,8.370845343365362
POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS,2.7442295565101786,4.2575e-9,allECs,8.370845343365362
POSITIVE REGULATION OF LEUKOCYTE CELL CELL ADHESION,2.726297763784372,4.2575e-9,allECs,8.370845343365362
IMMUNE RESPONSE REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY,2.722077054214817,4.2575e-9,allECs,8.370845343365362
POSITIVE REGULATION OF CELL ACTIVATION,2.712081728485807,4.2575e-9,allECs,8.370845343365362
ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS,2.68757658635616,4.2575e-9,allECs,8.370845343365362
HUMORAL IMMUNE RESPONSE,2.6743834753894857,4.2575e-9,allECs,8.370845343365362
IMMUNE EFFECTOR PROCESS,2.674033635096793,4.2575e-9,allECs,8.370845343365362
MYELOID LEUKOCYTE ACTIVATION,2.673886274044096,4.2575e-9,allECs,8.370845343365362
ACTIVATION OF IMMUNE RESPONSE,2.6678222482360745,4.2575e-9,allECs,8.370845343365362
DEFENSE RESPONSE TO OTHER ORGANISM,2.6636292204090295,4.2575e-9,allECs,8.370845343365362
LYMPHOCYTE MEDIATED IMMUNITY,2.6448699949638392,4.2575e-9,allECs,8.370845343365362
CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,2.6282775545255674,4.2575e-9,allECs,8.370845343365362
LEUKOCYTE CELL CELL ADHESION,2.583656575412372,4.2575e-9,allECs,8.370845343365362
POSITIVE REGULATION OF CELL CELL ADHESION,2.5775785815064447,4.2575e-9,allECs,8.370845343365362
INFLAMMATORY RESPONSE,2.569966449863695,4.2575e-9,allECs,8.370845343365362
REGULATION OF IMMUNE SYSTEM PROCESS,2.562338549231897,4.2575e-9,allECs,8.370845343365362
LYMPHOCYTE ACTIVATION,2.5471844331063727,4.2575e-9,allECs,8.370845343365362
RESPONSE TO MOLECULE OF BACTERIAL ORIGIN,2.539943798750014,4.2575e-9,allECs,8.370845343365362
REGULATION OF CELL ACTIVATION,2.5319771009172176,4.2575e-9,allECs,8.370845343365362
POSITIVE REGULATION OF CYTOKINE PRODUCTION,2.516715503442596,4.2575e-9,allECs,8.370845343365362
T CELL ACTIVATION,2.5155040812361245,4.2575e-9,allECs,8.370845343365362
DEFENSE RESPONSE,2.5061107447940203,4.2575e-9,allECs,8.370845343365362
REGULATION OF LYMPHOCYTE ACTIVATION,2.505295485494105,4.2575e-9,allECs,8.370845343365362
LEUKOCYTE PROLIFERATION,2.4738012716564985,4.2575e-9,allECs,8.370845343365362
RESPONSE TO BACTERIUM,2.4699448989888833,4.2575e-9,allECs,8.370845343365362
CELL ACTIVATION,2.444265877554793,4.2575e-9,allECs,8.370845343365362
LEUKOCYTE MIGRATION,2.4425123169274063,4.2575e-9,allECs,8.370845343365362
CYTOKINE PRODUCTION,2.4273147455133874,4.2575e-9,allECs,8.370845343365362
REGULATION OF CELL CELL ADHESION,2.4147898205175133,4.2575e-9,allECs,8.370845343365362
LEUKOCYTE DIFFERENTIATION,2.3721624253441194,4.2575e-9,allECs,8.370845343365362
BIOLOGICAL PROCESS INVOLVED IN INTERSPECIES INTERACTION BETWEEN ORGANISMS,2.2949077413821977,4.2575e-9,allECs,8.370845343365362
REGULATION OF T CELL ACTIVATION,2.518511539507392,4.279231505443482e-9,allECs,8.368634217648587
B CELL ACTIVATION,2.4920304250333243,5.95189248010702e-9,allECs,8.225344922844904
INTERLEUKIN 6 PRODUCTION,2.631540187977166,7.724131013948856e-9,allECs,8.112150368482428
RESPONSE TO INTERFERON GAMMA,2.579367910928854,1.347801069864535e-8,allECs,7.87037420322765
LEUKOCYTE CHEMOTAXIS,2.5263318719343726,1.3909726114872718e-8,allECs,7.85668142126392
POSITIVE REGULATION OF IMMUNE EFFECTOR PROCESS,2.5603609401799785,1.462603082293867e-8,allECs,7.834873515677389
RESPONSE TO CYTOKINE,2.1008425361916436,1.467387564555606e-8,allECs,7.833455165694504
NEUTROPHIL CHEMOTAXIS,2.6111279120751365,1.6799706348053286e-8,allECs,7.774698309496438
REGULATION OF IMMUNE EFFECTOR PROCESS,2.456238934004242,1.7100756938961152e-8,allECs,7.766984665798583
B CELL RECEPTOR SIGNALING PATHWAY,2.6665381716292593,1.971792183593307e-8,allECs,7.705138859310948
CELLULAR RESPONSE TO BIOTIC STIMULUS,2.4880491494830825,2.0099061029771123e-8,allECs,7.696824231092661
REGULATION OF LEUKOCYTE PROLIFERATION,2.4911050492128717,2.267967686126315e-8,allECs,7.644363137537952
CELLULAR RESPONSE TO MOLECULE OF BACTERIAL ORIGIN,2.490519216998145,3.264272732162098e-8,allECs,7.486213562808871
GRANULOCYTE CHEMOTAXIS,2.547030117437983,7.2124054550823e-8,allECs,7.141919866814399
ANTIGEN RECEPTOR MEDIATED SIGNALING PATHWAY,2.498357122163899,7.2124054550823e-8,allECs,7.141919866814399
CELL CHEMOTAXIS,2.398340504436742,8.937569058955552e-8,allECs,7.0487805894641555
IMMUNE SYSTEM DEVELOPMENT,2.0250197728200545,9.823716321215774e-8,allECs,7.007724187113883
NEUTROPHIL MIGRATION,2.5006527764944715,9.929266889259952e-8,allECs,7.003082815724405
MONONUCLEAR CELL MIGRATION,2.460783691289632,1.9190131048916188e-7,allECs,6.716922059468446
CELLULAR RESPONSE TO INTERFERON GAMMA,2.517254483702145,2.063509802160174e-7,allECs,6.6853934637800405
